method,path,code,size,latency
PUT,"/doc/18","200",265,676.625
PUT,"/doc/18","200",269,888.597
PUT,"/doc/18","200",269,723.749
POST,"/doc/202","200",165,155.335
POST,"/doc/203","200",164,2.021
PUT,"/doc/18","200",269,39.425
PUT,"/doc/18","200",269,13.565
PUT,"/doc/18","200",271,64.515
PUT,"/doc/18","200",269,10.263
PUT,"/doc/18","200",269,33.880
PUT,"/doc/18","200",269,16.341
POST,"/doc/204","200",165,437.856
POST,"/doc/205","200",166,24.445
POST,"/doc/0","200",138,1.346
POST,"/doc/15","200",164,2.352
PUT,"/doc/18","200",271,74.427
PUT,"/doc/1","200",265,40.666
POST,"/doc/206","200",164,5.534
PUT,"/doc/18","200",269,21.079
POST,"/doc/207","200",164,6.458
POST,"/doc/208","200",164,5.801
PUT,"/doc/1","200",265,6.095
POST,"/doc/9","200",164,5.057
POST,"/doc/7","200",163,4.663
POST,"/doc/209","200",164,5.382
POST,"/doc/210","200",164,6.036
POST,"/doc/211","200",164,5.888
POST,"/doc/212","200",164,5.515
POST,"/doc/213","200",164,5.100
PUT,"/doc/18","200",269,9.230
POST,"/doc/214","200",164,7.561
PUT,"/doc/18","200",267,5.562
POST,"/doc/215","200",165,7.618
POST,"/doc/0","200",138,1.508
POST,"/doc/11","200",164,5.783
POST,"/doc/216","200",164,6.474
PUT,"/doc/18","200",267,5.370
PUT,"/doc/18","200",267,5.333
PUT,"/doc/18","200",265,4.954
PUT,"/doc/18","200",265,8.850
PUT,"/doc/18","200",269,11.090
POST,"/doc/217","200",165,191.154
POST,"/doc/218","200",165,53.728
POST,"/doc/219","200",165,19.765
PUT,"/doc/18","200",271,476.650
PUT,"/doc/18","200",269,113.940
PUT,"/doc/18","200",271,85.875
PUT,"/doc/18","200",269,15.972
PUT,"/doc/1","200",265,9.877
PUT,"/doc/18","200",269,51.382
GET,"/doc/3","200",1315,0.808
POST,"/doc/220","200",166,45.783
POST,"/doc/221","200",165,18.118
PUT,"/doc/18","200",269,10.247
PUT,"/doc/18","200",269,41.229
PUT,"/doc/1","200",265,8.518
GET,"/doc/222","200",2377,0.284
GET,"/doc/223","200",2377,0.202
PUT,"/doc/18","200",271,69.190
PUT,"/doc/18","200",269,17.429
POST,"/doc/224","200",165,16.841
PUT,"/doc/18","200",267,7.132
POST,"/doc/225","200",165,13.907
POST,"/doc/226","200",165,15.764
POST,"/doc/227","200",164,0.829
POST,"/doc/117","200",138,0.459
POST,"/doc/228","200",164,1.640
PUT,"/doc/18","200",269,12.099
PUT,"/doc/18","200",267,5.832
PUT,"/doc/18","200",265,4.798
PUT,"/doc/18","200",267,5.060
PUT,"/doc/18","200",271,213.008
GET,"/doc/229","200",10208,56.481
PUT,"/doc/18","200",271,119.816
PUT,"/doc/18","200",269,26.599
PUT,"/doc/1","200",265,12.844
PUT,"/doc/18","200",265,5.045
PUT,"/doc/18","200",269,94.832
PUT,"/doc/18","200",269,68.893
POST,"/doc/230","200",166,39.852
GET,"/doc/231","200",4392,0.471
PUT,"/doc/18","200",269,16.145
POST,"/doc/232","200",165,15.806
POST,"/doc/233","200",164,6.204
PUT,"/doc/18","200",267,8.053
POST,"/doc/234","200",164,6.270
POST,"/doc/12","200",164,4.665
PUT,"/doc/18","200",269,16.908
PUT,"/doc/18","200",267,7.520
PUT,"/doc/18","200",269,13.732
GET,"/doc/235","200",2377,146.974
PUT,"/doc/18","200",271,62.581
PUT,"/doc/18","200",267,12.784
GET,"/doc/236","200",4307,1.844
POST,"/doc/237","200",166,27.611
PUT,"/doc/18","200",267,4.962
POST,"/doc/238","200",165,26.041
PUT,"/doc/18","200",269,76.701
PUT,"/doc/18","200",267,5.508
POST,"/doc/10","200",164,5.531
POST,"/doc/239","200",165,12.013
POST,"/doc/227","200",164,5.119
GET,"/doc/240","200",16263,287.625
GET,"/doc/241","200",16283,290.301
PUT,"/doc/18","200",271,61.260
PUT,"/doc/18","200",265,26.025
PUT,"/doc/18","200",267,14.134
GET,"/doc/242","200",16766,197.626
PUT,"/doc/18","200",267,1.601
PUT,"/doc/18","200",267,6.462
PUT,"/doc/18","200",267,8.045
PUT,"/doc/18","200",267,7.499
PUT,"/doc/18","200",265,4.943
PUT,"/doc/18","200",269,5.326
PUT,"/doc/18","200",267,6.804
PUT,"/doc/18","200",267,4.853
PUT,"/doc/18","200",265,6.397
PUT,"/doc/18","200",267,7.775
PUT,"/doc/18","200",267,1.961
PUT,"/doc/18","200",265,4.777
PUT,"/doc/18","200",265,4.816
POST,"/doc/243","200",166,162.218
POST,"/doc/244","200",165,10.156
POST,"/doc/245","200",165,9.694
POST,"/doc/246","200",165,7.772
PUT,"/doc/1","200",265,10.273
PUT,"/doc/1","200",265,8.708
POST,"/doc/2","200",138,1.489
POST,"/doc/247","200",138,7.635
POST,"/doc/2","200",138,3.350
POST,"/doc/2","200",138,4.962
PUT,"/doc/1","200",265,10.905
PUT,"/doc/1","200",265,5.670
PUT,"/doc/1","200",265,7.120
POST,"/doc/2","200",138,3.543
POST,"/doc/2","200",163,7.385
POST,"/doc/2","200",138,2.409
POST,"/doc/8","200",163,9.440
POST,"/doc/0","200",138,0.147
POST,"/doc/0","200",138,0.127
PUT,"/doc/1","200",265,7.726
POST,"/doc/2","200",138,1.703
PUT,"/doc/1","200",265,6.771
GET,"/doc/248","200",5498,0.384
GET,"/doc/249","200",205,1.329
GET,"/doc/250","200",5321,11.430
GET,"/doc/251","200",205,14.403
GET,"/doc/252","200",4652,0.306
GET,"/doc/253","200",4704,0.303
GET,"/doc/254","200",9322,0.658
POST,"/doc/0","200",138,3.351
GET,"/doc/255","200",7036,225.074
GET,"/doc/256","200",4885,113.320
GET,"/doc/257","200",5306,14.044
GET,"/doc/248","200",5498,0.374
GET,"/doc/258","200",10571,11.146
GET,"/doc/259","200",4652,0.467
GET,"/doc/260","200",10472,0.668
GET,"/doc/261","200",5546,0.386
GET,"/doc/262","200",5546,54.043
GET,"/doc/263","200",5979,79.904
GET,"/doc/264","200",5071,0.313
GET,"/doc/265","200",5546,46.096
GET,"/doc/266","200",5546,0.239
GET,"/doc/267","200",5546,0.248
GET,"/doc/268","200",5546,0.233
GET,"/doc/269","404",180,0.180
PUT,"/doc/1","200",265,7.426
GET,"/doc/270","200",5546,0.234
PUT,"/doc/1","200",265,3.761
GET,"/doc/271","200",5546,0.237
POST,"/doc/0","200",138,3.684
GET,"/doc/271","200",5546,0.236
GET,"/doc/272","200",5546,0.228
GET,"/doc/273","404",180,0.187
GET,"/doc/274","200",5546,0.224
GET,"/doc/275","200",5546,0.262
GET,"/doc/276","200",5546,0.246
POST,"/doc/0","200",138,3.860
GET,"/doc/277","200",9683,21.788
GET,"/doc/278","200",5546,0.218
GET,"/doc/279","200",5546,35.233
GET,"/doc/280","200",5546,44.142
GET,"/doc/281","200",7567,0.320
PUT,"/doc/1","200",265,5.683
GET,"/doc/282","200",5546,33.643
GET,"/doc/283","200",5546,0.234
GET,"/doc/284","200",10523,0.488
GET,"/doc/285","200",9858,0.515
GET,"/doc/286","200",5546,0.271
PUT,"/doc/1","200",265,7.441
GET,"/doc/287","200",10561,0.555
GET,"/doc/288","200",5546,29.493
GET,"/doc/289","200",4661,19.513
GET,"/doc/290","200",5546,0.218
GET,"/doc/291","200",4962,14.827
GET,"/doc/292","200",4655,0.307
POST,"/doc/2","200",138,5.569
GET,"/doc/293","404",59,0.087
GET,"/doc/294","200",4652,0.319
GET,"/doc/295","200",4652,0.335
GET,"/doc/296","200",4975,0.395
GET,"/doc/297","200",5895,0.376
GET,"/doc/298","200",6149,0.363
GET,"/doc/299","200",5301,0.317
GET,"/doc/300","200",5250,24.622
POST,"/doc/0","200",138,5.637
PUT,"/doc/1","200",265,11.835
PUT,"/doc/1","200",265,10.730
GET,"/doc/3","200",4047,0.381
GET,"/doc/4","200",795,0.076
GET,"/doc/3","200",4047,0.353
PUT,"/doc/1","200",265,10.049
GET,"/doc/4","200",795,0.069
GET,"/doc/301","200",15725,0.695
GET,"/doc/3","200",4047,0.356
GET,"/doc/4","200",795,0.069
POST,"/doc/2","200",138,7.833
POST,"/doc/0","200",163,7.121
PUT,"/doc/1","200",267,46.018
POST,"/doc/247","200",163,49.898
PUT,"/doc/1","200",267,38.439
POST,"/doc/302","200",163,55.379
PUT,"/doc/1","200",265,24.580
POST,"/doc/303","200",163,38.193
PUT,"/doc/1","200",265,26.673
